y1,y2,y3,y4,y5,y6,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0.68,0.3,-0.05,80,4.9,61831.62,266,1941.29,779177.67,3,14695,0.64,FO,C,购物中心,174,T1,95,5
0.69,0.38,0.01,80,6.9,106830.37,251,3995.36,779177.67,7,14511,0.62,FO,C,购物中心,174,T1,95,5
0.67,0.32,-0.25,80,7.1,50067.67,232,4161.88,779177.67,6,14216,0.62,FO,C,购物中心,174,T1,95,5
0.65,0.24,0.1,81,6.6,55334.73,204,5287.04,779177.67,4,14166,0.6,FO,C,购物中心,174,T1,95,5
0.66,0.37,0.13,81,9.4,64532.13,227,3776.62,779177.67,13,14938,0.6,FO,C,购物中心,174,T1,95,5
0.66,0.24,0.18,81,5.3,62181.69,245,3763.29,779177.67,10,12241,0.6,FO,C,购物中心,174,T1,95,5
0.66,0.36,0.13,83,7.7,77838.75,265,3218.63,779177.67,9,13582,0.62,FO,C,购物中心,174,T1,95,5
0.69,0.4,0.35,83,7.1,95466.29,283,6548.77,779177.67,5,31571,0.65,FO,C,购物中心,174,T1,95,5
0.65,0.28,0.65,83,7.6,58045.27,320,5232.3,779177.67,7,13668,0.63,FO,C,购物中心,174,T1,95,5
0.62,0.13,0.4,83,5.8,42070.01,318,12937.97,779177.67,11,21332,0.61,FO,C,购物中心,174,T1,95,5
0.66,0.33,0.88,83,7.3,64458.18,293,3537.71,779177.67,6,16719,0.59,FO,C,购物中心,174,T1,95,5
0.62,0.41,0.01,83,31.5,73024.49,293,2624.71,779177.67,6,14238,0.6,FO,C,购物中心,174,T1,95,5
0.63,0.14,0.13,87,3.8,69719.53,292,4229.58,779177.67,12,13915,0.63,FO,C,购物中心,174,T1,95,5
0.63,0.36,-0.17,87,6.9,89197.25,264,3736.04,779177.67,7,24597,0.61,FO,C,购物中心,174,T1,95,5
0.63,0.36,0.17,87,20.8,58305.82,253,8065.86,779177.67,12,14979,0.6,FO,C,购物中心,174,T1,95,5
